,lat,lng,cluster
1888,35.20652821,126.85951128,6
1737,35.20691708,126.86070561,6
1701,35.20694485,126.86070561,6
1733,35.20652821,126.85951128,6
1557,35.20727814,126.86012232,6
1553,35.20694484,126.86012233,6
1190,35.20650044,126.85948351,6
1199,35.20652821,126.85951128,6
1483,35.20694484,126.86012233,6
1481,35.20730591,126.85978901,6
909,35.20694484,126.8601501,6
1458,35.20652823,126.86062229,6
849,35.20652823,126.86026121,6
1447,35.20650044,126.85948351,6
1443,35.20650044,126.85948351,6
1437,35.20694485,126.86070561,6
1260,35.20730591,126.86012232,6
1416,35.20694484,126.86012233,6
1405,35.20652823,126.86062229,6
1401,35.20694484,126.86012233,6
1389,35.20652823,126.86062229,6
1388,35.20652823,126.86062229,6
1312,35.20652823,126.86062229,6
1352,35.20652823,126.86062229,6
875,35.20652823,126.86065007,6
1571,35.20694484,126.85976125,6
1735,35.20677818,126.85928907,6
1579,35.20694484,126.86012233,6
1598,35.206551,126.8594921,6
1730,35.20694484,126.85976125,6
1709,35.20652823,126.86065007,6
1708,35.20694484,126.86012233,6
882,35.206551,126.8594921,6
1151,35.20652821,126.85951128,6
1692,35.20730591,126.85978901,6
1162,35.20652823,126.86062229,6
1686,35.20652823,126.86062229,6
1672,35.20650044,126.85948351,6
1662,35.20730591,126.86012232,6
1164,35.20652821,126.85951128,6
1655,35.20652821,126.85951128,6
752,35.20730592,126.86045562,6
1646,35.20727814,126.86012232,6
1172,35.20650044,126.85948351,6
1176,35.20691708,126.86070561,6
1615,35.20652823,126.86062229,6
1614,35.20730592,126.86045562,6
1613,35.20652823,126.86062229,6
1612,35.20652823,126.86062229,6
934,35.20691708,126.86070561,6
1590,35.20661156,126.86095559,6
1005,35.20730591,126.86012232,6
2045,35.20694484,126.85976125,6
577,35.20652823,126.86062229,6
278,35.20652821,126.85951128,6
411,35.20694484,126.85976125,6
436,35.20694484,126.8601501,6
418,35.20652821,126.85951128,6
290,35.20194723438197,126.85391998926096,6
357,35.20730591,126.86012232,6
240,35.20652823,126.86026121,6
514,35.20652823,126.86062229,6
70,35.20652821,126.85951128,6
304,35.20650044,126.85948351,6
247,35.20652823,126.86026121,6
269,35.20694484,126.8601501,6
428,35.20652821,126.85951128,6
309,35.20694484,126.85976125,6
312,35.20694485,126.86070561,6
503,35.20652823,126.86026121,6
153,35.20652823,126.86062229,6
313,35.20730592,126.86045562,6
21,35.20652821,126.85951128,6
11,35.20691708,126.86070561,6
192,35.20652823,126.86062229,6
555,35.21516585,126.8432625,7
1404,35.2138049,126.84348474,7
750,35.21516585,126.8432625,7
485,35.2149795,126.8436766,7
246,35.213648,126.844043,7
978,35.2138049,126.84348474,7
254,35.2138049,126.84348474,7
983,35.2138049,126.84348474,7
1810,35.21484665656522,126.844017506042,7
1602,35.21516585,126.8432625,7
729,35.2138049,126.84348474,7
692,35.21427707,126.84337363,7
1084,35.21516585,126.8432625,7
831,35.2146145,126.8433419,7
830,35.2146145,126.8433419,7
842,35.2145826,126.84434575,7
1515,35.213648,126.844043,7
553,35.2138049,126.84348474,7
1508,35.21516585,126.8432625,7
219,35.21363826,126.84406802,7
407,35.214555329102346,126.84401575988898,7
1148,35.21352542978512,126.84346851254912,7
1004,35.21363827,126.84434578,7
523,35.213648,126.844043,7
331,35.21363827,126.84434578,7
525,35.213648,126.844043,7
1194,35.21516585,126.8432625,7
972,35.2138049,126.84348474,7
1051,35.21352542978512,126.84346851254912,7
33,35.21352542978512,126.84346851254912,7
1275,35.21363827,126.84434578,7
600,35.21352542978512,126.84346851254912,7
626,35.21441832248273,126.8426600646228,7
787,35.21497144,126.84367914,7
908,35.21402711,126.84406801,7
457,35.2145826,126.84434575,7
1324,35.213648,126.844043,7
948,35.21363826,126.84406802,7
783,35.21499921,126.84365136,7
953,35.2138049,126.84348474,7
957,35.2138049,126.84348474,7
613,35.2138049,126.84345696,7
796,35.21491588,126.84342916,7
1925,35.21394378,126.84409579,7
965,35.21383267,126.84348474,7
964,35.2138049,126.84348474,7
962,35.2138049,126.84348474,7
619,35.2138049,126.84348474,7
759,35.21513808,126.84320695,7
1903,35.2142493,126.84373471,7
925,35.21383267,126.84348474,7
960,35.2138049,126.84348474,7
959,35.2138049,126.84348474,7
1623,35.20730594,126.86176106,8
1622,35.20694486,126.86131667,8
537,35.207197870156335,126.86259373125336,8
492,35.20697264,126.86123334,8
1227,35.20730598,126.86403864,8
1271,35.20730593,126.86109445,8
1241,35.20730594,126.86178884,8
1585,35.20730595,126.86203881,8
1573,35.20747259,126.86195548,8
1567,35.20652827,126.86251101,8
1354,35.20697265,126.86192772,8
1217,35.20652828,126.86367758,8
1163,35.20694486,126.86131667,8
1397,35.2069449,126.86337204,8
1398,35.207197870156335,126.86259373125336,8
1159,35.20694486,126.86131667,8
1341,35.20652828,126.8636498,8
241,35.20730593,126.86109445,8
1428,35.20730595,126.86242767,8
494,35.2069449,126.86337204,8
1321,35.20730595,126.86242767,8
1154,35.20730596,126.86267765,8
286,35.20652828,126.8636498,8
1152,35.20730594,126.86178884,8
1203,35.20730596,126.86267765,8
1455,35.20730594,126.86176106,8
1305,35.20730595,126.86203881,8
344,35.20694486,126.86131667,8
1450,35.20652827,126.86251101,8
1022,35.20730597,126.86359423,8
541,35.20730595,126.86242767,8
1742,35.20697264,126.86123334,8
949,35.20672267,126.86123335,8
1741,35.20730594,126.86176106,8
1740,35.20694488,126.86242768,8
1660,35.20652828,126.8636498,8
1757,35.20730595,126.86242767,8
1769,35.20650048,126.86192773,8
932,35.20694488,126.86242768,8
859,35.20672267,126.86123335,8
1743,35.20730597,126.86359423,8
1707,35.20730596,126.86267765,8
1703,35.20694486,126.86131667,8
1712,35.20730595,126.86245544,8
1746,35.20730595,126.86206659,8
1675,35.20730595,126.86203881,8
1984,35.20658384,126.86401088,8
388,35.20672267,126.86123335,8
458,35.20652828,126.86367758,8
105,35.20672267,126.86123335,8
586,35.20747259,126.86195548,8
2019,35.20688935,126.86345537,8
584,35.20730594,126.86178884,8
1681,35.20730595,126.86242767,8
1947,35.2127493,126.83401338,9
1349,35.21091617,126.8334857,9
758,35.21091617,126.8334857,9
636,35.21133279,126.83390232,9
1872,35.2127493,126.83401338,9
1195,35.2127493,126.83401338,9
1866,35.21230492,126.8349022,9
1183,35.21230488,126.83218022,9
1849,35.2127493,126.83401338,9
1391,35.21091617,126.8334857,9
1822,35.21230492,126.8349022,9
634,35.21133279,126.83390232,9
1818,35.21230492,126.8349022,9
767,35.21133279,126.83387454,9
1335,35.21133279,126.83387454,9
17,35.21094394,126.83351347,9
